rank,movie_id,title,predicted_rating,model,user_id,because_you_liked
1,12872,Eagles: Farewell I Tour: Live from Melbourne (2004),4.42,SVD,2335003,
2,6274,The Hunt for Red October (1990),4.354,SVD,2335003,
3,12918,Men in Black (1997),4.349,SVD,2335003,
4,6386,Sister Act (1992),4.322,SVD,2335003,
5,3106,Ghost (1990),4.316,SVD,2335003,
6,1144,Fried Green Tomatoes (1991),4.299,SVD,2335003,
7,10042,Raiders of the Lost Ark (1981),4.297,SVD,2335003,
8,985,The Mummy (1999),4.293,SVD,2335003,
9,17627,Harry Potter and the Sorcerer's Stone (2001),4.289,SVD,2335003,
10,15124,Independence Day (1996),4.279,SVD,2335003,
1,14961,Lord of the Rings: The Return of the King: Extended Edition (2003),4.434,KNN,2335003,"Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.994] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.984] | Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.982]"
2,5582,Star Wars: Episode V: The Empire Strikes Back (1980),4.398,KNN,2335003,"Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.983] | Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.982] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.981]"
3,7230,The Lord of the Rings: The Fellowship of the Ring: Extended Edition (2001),4.39,KNN,2335003,"Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.996] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.984] | Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.982]"
4,13031,Star Trek: The Next Generation: Season 3 (1989),4.384,KNN,2335003,"Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.964] | X2: X-Men United (2003) [rated 4★, similarity=0.964] | The Last Starfighter (1984) [rated 5★, similarity=0.964]"
5,17307,CSI: Season 4 (2003),4.371,KNN,2335003,"The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.975] | Kiss the Girls (1997) [rated 3★, similarity=0.973] | Harry Potter and the Prisoner of Azkaban (2004) [rated 5★, similarity=0.972]"
6,7057,Lord of the Rings: The Two Towers: Extended Edition (2002),4.367,KNN,2335003,"Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.995] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.983] | Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.982]"
