rank,movie_id,title,predicted_rating,because_you_liked,model,user_id
1,14961,Lord of the Rings: The Return of the King: Extended Edition (2003),4.434,"Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.994] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.984] | Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.982]",KNN,2335003
2,5582,Star Wars: Episode V: The Empire Strikes Back (1980),4.398,"Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.983] | Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.982] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.981]",KNN,2335003
3,7230,The Lord of the Rings: The Fellowship of the Ring: Extended Edition (2001),4.39,"Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.996] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.984] | Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.982]",KNN,2335003
4,13031,Star Trek: The Next Generation: Season 3 (1989),4.384,"Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.964] | X2: X-Men United (2003) [rated 4★, similarity=0.964] | The Last Starfighter (1984) [rated 5★, similarity=0.964]",KNN,2335003
5,17307,CSI: Season 4 (2003),4.371,"The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.975] | Kiss the Girls (1997) [rated 3★, similarity=0.973] | Harry Potter and the Prisoner of Azkaban (2004) [rated 5★, similarity=0.972]",KNN,2335003
6,7057,Lord of the Rings: The Two Towers: Extended Edition (2002),4.367,"Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.995] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.983] | Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.982]",KNN,2335003
7,16265,Star Wars: Episode IV: A New Hope (1977),4.359,"Indiana Jones and the Last Crusade (1989) [rated 5★, similarity=0.981] | Lord of the Rings: The Fellowship of the Ring (2001) [rated 5★, similarity=0.979] | The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.978]",KNN,2335003
8,8447,24: Season 1 (2001),4.347,"The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.976] | Schindler's List (1993) [rated 4★, similarity=0.972] | Presumed Innocent (1990) [rated 3★, similarity=0.972]",KNN,2335003
9,8468,CSI: Season 3 (2002),4.321,"The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.975] | Harry Potter and the Prisoner of Azkaban (2004) [rated 5★, similarity=0.973] | Pirates of the Caribbean: The Curse of the Black Pearl (2003) [rated 5★, similarity=0.973]",KNN,2335003
10,14621,Shrek (Full-screen) (2001),4.298,"The Shawshank Redemption: Special Edition (1994) [rated 4★, similarity=0.976] | Aladdin: Platinum Edition (1992) [rated 3★, similarity=0.975] | The Green Mile (1999) [rated 4★, similarity=0.974]",KNN,2335003
